x,y,z
-10.496757276715812,460.0285926236555,a
14.602923799078965,436.57792186909273,a
65.5455645773844,423.7258572220702,a
90.2580018109882,432.89288206522406,a
152.20193224081686,372.67487108057037,a
170.02383784073058,331.98001872118203,a
192.77338610497765,407.80857652564004,a
254.4103106862606,378.0683368004635,a
267.15389130268403,335.78743735260394,a
344.42166670592496,331.6366406021434,a
370.61205529795404,240.0023876479363,a
438.0729428526333,266.7555116240534,a
460.82883151203373,252.7810482578317,a
498.4756288160711,234.5484933570728,a
520.5144565484786,198.02667510631005,a
524.7654806746812,187.02072347911707,a
562.0834837088249,203.3655200586938,a
583.6333595324717,189.60096039650023,a
642.5107448132065,149.94185877360906,a
652.6423372422557,143.84220584695544,a
637.550509587393,169.28470392597097,a
702.3260371214747,88.6810510324633,a
672.0335825943554,151.79069365352478,a
693.8976991442937,85.64113679105037,a
56.75006824231943,457.0405596551592,a
26.31052490495815,435.67910079446057,a
69.70223382501753,438.90592690513944,a
24.034801320262268,404.2601860704246,a
137.90133041305972,474.29818781654023,a
77.66268724432885,506.8567711715176,a
158.3659383392988,448.69539979066735,a
210.284615836486,391.88165262451656,a
202.11918795407365,394.39814084606456,a
255.4287758674888,410.12077836381934,a
319.25131574347387,357.0259808048149,a
315.5902267943182,306.572162102932,a
399.8036890627248,298.5439608479728,a
396.69222622062466,293.09311193608426,a
432.6488646574992,264.3846792384565,a
465.9630383952215,280.1084751587178,a
445.72798150368993,270.68325910830026,a
484.9207515460663,237.84412258928842,a
485.30352459984493,193.93880807786132,a
456.6345683127086,202.304230223532,a
529.2421591920821,207.03542464624962,a
562.3170382795196,189.20885498300333,a
593.1082471329129,201.9823589986292,a
598.9200302237591,193.57861852990192,a
570.2755597456031,249.99963889284,a
561.4375571412585,226.8311274534957,a
583.3441946612633,201.6210072082563,a
673.9409424590835,188.443421352567,a
632.2469286041389,151.37912445740557,a
647.4132827226591,211.54192462862585,a
622.5234458849845,168.31005276827727,a
708.8256010057642,149.53286797423027,a
688.3021589047873,168.55899978193366,a
680.387514746303,164.45993499828938,a
715.6574337471062,166.75020291515267,a
80.878216609278,439.573730544489,a
81.78116570735747,487.7275254027565,a
48.858831584330105,410.35121590453366,a
108.556750783115,468.730207002978,a
107.19289829366447,420.2337158571656,a
108.7931069263429,417.0745948498665,a
101.63021637752205,445.0372584041621,a
159.84055172493328,420.03800188843934,a
182.60620247628847,372.09237524975583,a
184.25028047668064,420.9802724482611,a
213.4496533383496,361.21798956750456,a
293.7681864920557,401.81848014904165,a
251.31747129542313,366.0495343844333,a
276.79736680031976,296.31943408737754,a
309.0222962985179,333.581013051583,a
368.8493363079696,270.9254652798022,a
373.965265992249,300.2012463241536,a
411.86860596172704,297.5079247276668,a
400.85281205617883,299.75047889842847,a
398.16495574959634,281.3224088879914,a
409.6683392936585,247.31222618963696,a
443.28858151436833,221.77923699383388,a
444.8431741187595,215.28913738068854,a
500.9427003310055,266.96537240778645,a
530.2729831630131,250.90737365284556,a
519.5508638562599,208.40931631798935,a
500.76345579056374,240.13585761094242,a
532.872664935235,209.45785139131192,a
514.8314385320671,211.51082671759355,a
581.5038086574904,189.781950607907,a
581.9055613455531,213.5454921247108,a
642.9580040797032,196.3693520363522,a
555.266109294562,204.48992498933933,a
624.8965212563919,210.12933811606308,a
597.1690981827082,198.20872321236965,a
606.7748403011748,172.56764491067008,a
567.2065746410549,126.88557117211269,a
640.5037732932426,191.79534215393164,a
665.5264480887697,115.9595596579702,a
611.0273649498756,163.7402300300223,a
665.3031272842431,157.12072021477348,a
699.9548268599885,131.76554524303305,a
673.1307762814502,149.08198564140815,a
675.230557052202,186.50186976243629,a
41.160084897823545,403.2054921350493,a
61.401310181432635,410.9596114934189,a
58.70160565022909,352.8657645329571,a
115.30680475857196,334.67145575779364,a
65.18598283631643,366.65739864553404,a
94.75908338810078,400.9599450723822,a
66.6269300880537,377.2050335217259,a
125.65527825288177,379.0033658902747,a
219.93364379914743,336.52287988010255,a
209.97709572321511,317.2706915156549,a
277.09811848469883,278.3433194417529,a
248.8501987788151,368.10485160819786,a
270.3820356907351,309.4308184701147,a
319.9778955483899,298.96908212624055,a
314.885366478013,278.9299119643704,a
366.5805808021325,283.73898773665985,a
476.9903589490895,240.9045028196552,a
398.7776932932906,207.61930364917532,a
493.44968418657476,194.1889681766258,a
451.9296812759329,191.4412370649187,a
478.62050499469507,222.57038051321024,a
442.86255341358475,197.02866225491528,a
491.42034674506937,191.1576152514649,a
510.5603886495265,162.03498177320745,a
552.319786980383,136.02288913839305,a
547.6545815405858,162.04430458929323,a
528.0123452615454,122.78510113130972,a
543.5795840539256,157.4846954739221,a
541.876607414525,132.7685901617926,a
574.1182086192111,176.26234914482603,a
607.9933894987978,143.88485976675162,a
566.4455903932767,139.30371195805316,a
543.3313712409025,180.30623050671312,a
626.3078096035333,144.12498100935437,a
617.065021690943,133.91034555246125,a
624.3435941917376,130.08204014784707,a
619.2182069291349,120.12079526885259,a
681.4021116796371,156.9025476466279,a
696.3922549706921,139.52496724959104,a
659.3721300544544,116.56495094986303,a
699.9685315830736,118.75959865980354,a
697.3476107119982,127.39947162550976,a
680.8489399482705,130.31729168217998,a
677.8343926869478,102.49589688476425,a
701.4517156114374,78.29605677025802,a
218.80170275917158,469.93543749096443,a
225.96807027161424,450.50511565393055,a
200.9558809643878,384.1065257030268,a
293.4456109569651,367.23417045419956,a
323.9190921709311,388.44222550139847,a
353.6137376725218,349.04883602656355,a
378.383077241723,340.90076775628745,a
407.7955423665459,317.1388229534749,a
403.35633155820005,314.03927152611533,a
425.8604642849111,331.92456521161284,a
464.32872688588634,335.1262544159262,a
479.3039056407522,264.51083592802377,a
483.2029983339409,213.7581902326353,a
553.9886119298824,249.83031709478288,a
560.963181784744,241.9041613502468,a
548.3350750562007,236.09210688798527,a
527.7099432364292,215.74386677521983,a
555.6477023111768,229.4861240021931,a
585.6253071093529,170.75969162330517,a
605.8690600459088,226.172124480707,a
623.4877242004164,190.6721333873728,a
608.0526804601143,200.3695465939785,a
600.3518961465284,162.67733650590412,a
653.2430351407627,199.42626394042236,a
653.2189005603959,207.528449192886,a
665.6287890943644,197.67932922239333,a
629.0296303434582,167.54686016532202,a
630.2175659750316,206.78280188355114,a
692.7044362143112,196.73199251185332,a
679.2769339387708,164.403573910906,a
697.204751237375,154.61193617960885,a
689.1867341803214,173.49690718495634,a
733.2581534382848,129.06710045760786,a
709.539313462455,144.32135333657953,a
720.4531112095626,147.10499931007632,a
705.4708961019569,129.6340221749888,a
731.3535002728397,182.36191346879667,a
749.532269315982,161.75191928665015,a
727.5989771270281,158.47757713090596,a
47.015944702378235,301.9389852806708,a
-4.135621161888217,341.19551100357467,a
21.11553353046171,334.70698955111226,a
106.22557722182108,308.16678679059885,a
108.43564202407552,338.8241404835719,a
116.0603670104444,307.0428999431109,a
119.68713119997395,292.66269642661035,a
147.26249360112044,324.73860793307045,a
183.00661743746858,301.5776664702005,a
272.25249964716915,328.02212542353067,a
259.31087204134195,264.565151397062,a
266.4346733308983,290.09497355492823,a
256.2951424656143,302.8958062805318,a
299.34017122624,302.70661194312896,a
281.8202183151406,270.628530968502,a
285.2513407288949,237.53171977789071,a
355.2392617821226,274.55471062839456,a
402.6414888058527,264.5274401769196,a
367.2153583628433,301.22635754726184,a
354.7190475112653,234.2388992223536,a
433.0296964185646,216.34239522365596,a
425.3696627511992,265.4295650292163,a
445.87873078945023,201.71581941545315,a
503.3432868745147,213.27613800134242,a
469.37023090553794,245.27180449517755,a
475.776572427747,217.43066991704512,a
516.047091112407,228.36673936021754,a
556.4077292927603,189.62295879266372,a
537.7899869729399,203.20519123214456,a
593.5886490363505,216.5842864080642,a
578.8490195379717,191.48790666111267,a
588.7142495635417,179.55739183368843,a
597.5894630862531,167.50902414490304,a
577.256035909524,216.82743891926373,a
578.3672687622645,234.82482859591687,a
557.3441118195607,209.882307609586,a
635.2157765498538,209.0596262333152,a
614.4357863300102,205.82098260263206,a
615.2562409252092,207.1823184689124,a
672.6004538448325,203.5043382469472,a
666.2395568862112,161.9487955783585,a
677.0807046762255,158.44445148973597,a
612.9862425971191,174.5071128267146,a
696.2198760568776,177.5143820257269,a
660.4073858586019,140.79425103858415,a
657.9839274740259,173.49057736132625,a
643.2195966857454,185.82244600715518,a
664.4868322895335,144.06505336188417,a
174.38977940547701,447.5164285951468,a
225.4871683377209,478.28164615888755,a
286.743819618638,415.9849908873872,a
312.33359362149815,403.009351742192,a
378.2435445286446,341.5737741707368,a
356.99864669114106,293.33263786520126,a
383.13176105356644,330.088839244376,a
474.6444827820505,271.145750567576,a
415.85997977932794,307.23277503994655,a
439.7306497541307,300.0027841933693,a
515.0803338044753,291.5917504593806,a
519.195368142544,304.3042495758314,a
489.12475055356737,273.010727614717,a
489.5762344097567,323.0590284621817,a
526.2528002270719,274.893119111851,a
553.8828787214178,299.5145399793207,a
557.7373466836726,248.14663669511748,a
583.1675842877452,247.48499330084346,a
523.8599232806205,229.05393876192147,a
593.2345049969491,213.1673373724115,a
612.0937183624618,244.9667695490852,a
551.4103093822783,208.9620856246246,a
596.9309755031579,169.18065828136156,a
586.3649207521433,249.8960794082447,a
636.7293228799383,184.79870446111966,a
655.6509987438623,174.7913407420316,a
653.8827544773969,225.92864290258746,a
657.9398441709188,215.45809190467457,a
698.9349850009646,153.599816512546,a
701.7349882041908,220.81693685496964,a
718.683527867615,152.64788041741576,a
726.9977630506048,148.62733010227112,a
706.903041360387,106.27384675357848,a
674.5831737884496,147.9902707738923,a
697.5710866221538,153.78084774969682,a
705.2394986079862,166.2392978515146,a
732.6636112763489,172.55720545213688,a
-1.6411339529113533,305.27408625774774,a
31.63862899426688,267.2234087123425,a
4.597307732838601,326.8109710987178,a
68.49435473561275,314.5187388223278,a
37.361645466892355,293.8198722949972,a
76.64279092546985,284.50489499136546,a
109.25483192491927,281.25057195560976,a
160.92802637802345,294.0178362733679,a
124.58911128431059,307.28651399564944,a
129.3791139257214,241.6584596845064,a
194.75162789419454,281.00205027790025,a
217.76760181260525,235.3557977969083,a
244.7406311663444,222.5421460782411,a
309.11935000213845,238.69652345197255,a
